,Adventurer,Bureaucrat,Cellar,Chancellor,Chapel,Council Room,Feast,Festival,Laboratory,Library,Market,Militia,Mine,Moat,Moneylender,Remodel,Smithy,Spy,Thief,Throne Room,Village,Witch,Woodcutter,Workshop,Gold,Silver,Copper,Province,Duchy,Gardens,Estate,Curse
Adventurer,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bureaucrat,0,400,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,-10,0,0,0,0,0,-20,-20,20,0,0
Cellar,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,20,20,20,10,0
Chancellor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chapel,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,0,0,0,0,0,0,0,0,0,0
Council Room,0,0,0,0,0,500,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,10,0,0,0,0,10,0,0
Feast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Festival,0,0,0,0,0,20,0,520,0,30,0,0,0,0,0,0,20,0,0,0,0,20,0,0,10,0,0,0,0,10,0,0
Laboratory,0,0,0,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Library,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
Market,0,0,0,0,0,0,0,0,0,10,480,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0
Militia,20,-10,0,0,0,30,0,0,0,50,0,430,0,30,0,0,0,0,0,0,0,-20,0,0,10,0,0,20,20,20,10,0
Mine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0
Moat,0,-10,0,0,0,0,0,10,0,0,0,0,0,200,0,0,0,0,0,0,0,-20,0,0,0,0,0,0,0,0,0,0
Moneylender,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-10,-10,0,0
Remodel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0
Smithy,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,410,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
Spy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thief,0,-20,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0
Throne Room,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Village,0,0,0,0,0,30,0,0,0,10,0,0,0,0,0,0,20,0,0,0,280,20,0,0,0,0,0,0,0,0,0,0
Witch,0,0,0,0,0,0,0,20,0,0,0,0,0,30,0,0,0,0,0,0,0,520,0,0,0,0,0,0,0,10,0,0
Woodcutter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Workshop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Gold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0
Silver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0
Copper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Province,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0
Duchy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0
Gardens,0,30,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,160,10,0
Estate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
